Character,Count,Percentage
his,9,0.05
he,7,0.0389
to,7,0.0389
and,7,0.0389
him,6,0.0333
the,5,0.0278
was,5,0.0278
english,5,0.0278
with,5,0.0278
in,4,0.0222
a,3,0.0167
she,3,0.0167
from,3,0.0167
teenager,2,0.0111
up,2,0.0111
got,2,0.0111
because,2,0.0111
of,2,0.0111
about,2,0.0111
well,2,0.0111
down,2,0.0111
face,2,0.0111
has,2,0.0111
hiding,1,0.0056
behind,1,0.0056
loose,1,0.0056
dusty,1,0.0056
curtain,1,0.0056
packed,1,0.0056
overcoat,1,0.0056
into,1,0.0056
suitcase,1,0.0056
planned,1,0.0056
leave,1,0.0056
home,1,0.0056
at,1,0.0056
dusk,1,0.0056
though,1,0.0056
there,1,0.0056
thunder,1,0.0056
lightning,1,0.0056
outdoors,1,0.0056
had,1,0.0056
do,1,0.0056
this,1,0.0056
tired,1,0.0056
parents’,1,0.0056
nagging,1,0.0056
study,1,0.0056
did,1,0.0056
not,1,0.0056
want,1,0.0056
go,1,0.0056
through,1,0.0056
it,1,0.0056
any,1,0.0056
longer,1,0.0056
couldn’t,1,0.0056
get,1,0.0056
along,1,0.0056
disliked,1,0.0056
joining,1,0.0056
classes,1,0.0056
thought,1,0.0056
teacher,1,0.0056
ignored,1,0.0056
on,1,0.0056
purpose,1,0.0056
as,1,0.0056
result,1,0.0056
score,1,0.0056
each,1,0.0056
exam,1,0.0056
never,1,0.0056
added,1,0.0056
over,1,0.0056
partner,1,0.0056
concerned,1,0.0056
very,1,0.0056
much,1,0.0056
understood,1,0.0056
exactly,1,0.0056
what,1,0.0056
suffering,1,0.0056
but,1,0.0056
entirely,1,0.0056
disagreed,1,0.0056
idea,1,0.0056
order,1,0.0056
calm,1,0.0056
settle,1,0.0056
problem,1,0.0056
talked,1,0.0056
swapped,1,0.0056
series,1,0.0056
learning,1,0.0056
tips,1,0.0056
items,1,0.0056
set,1,0.0056
helped,1,0.0056
find,1,0.0056
highway,1,0.0056
studying,1,0.0056
grateful,1,0.0056
great,1,0.0056
power,1,0.0056
friend’s,1,0.0056
words,1,0.0056
now,1,0.0056
recovered,1,0.0056
being,1,0.0056
upset,1,0.0056
fallen,1,0.0056
love,1,0.0056
